Sample_ID,accept,reject
NRB_1,0.190944464,1.016140197
NRB_2,0.041990479,2.141980486
NRB_3,0.041990479,3.527576589
NRB_4,,
NRB_5,0.979164521,0.041990479
NRB_6,0.275695348,0.041990479
NRB_7,0.32268726,0.041990479
NRB_8,1.79506949,2.175801375
NRB_9,0.041990479,1.311457448
NRB_10,0.041990479,0.110430746
NRB_11,0.041990479,0.402157951
NRB_12,0.041990479,0.24557494
NRB_13,0.100736511,0.461971734
NRB_14,0.041990479,0.05302747
NRB_15,,
NRB_16,0.041990479,0.126740415
NRB_17,,
NRB_18,1.034306843,0.334727473
NRB_19,0.041990479,0.103839841
NRB_20,0.282604612,0.041990479
NRB_21,0.041990479,0.047215083
NRB_22,,
NRB_23,,
NRB_24,,
NRB_25,0.190523998,0.041990479
NRB_26,0.190523998,0.041990479
NRB_27,0.049806887,0.041990479
NRB_28,,
NRB_29,0.052344689,0.81589811
NRB_30,0.041990479,1.556523569
NRB_31,0.208112079,0.041990479
NRB_32,0.11445803,0.137487947
NRB_33,,
NRB_34,0.041990479,0.082696589
NRB_35,,
NRB_36,,
NRB_37,0.041990479,0.082696589
NRB_38,,
NRB_39,,
NRB_40,0.041990479,0.09831673
NRB_41,0.22708758,0.041990479
NRB_42,,
NRB_43,,
NRB_44,0.225215531,0.041990479
NRB_45,,