Sample_ID,Farm_type,AF_ppb_bulk,AF_ppb_accept,AF_ppb_reject,AF_ppb_accept_log,AF_ppb_reject_log
NRB_3,,,1.114953798,3369.586341,0.047256871,3.527576589
NRB_8,,,62.38346451,149.8999114,1.79506949,2.175801376
NRB_2,,,1.088076514,138.669352,0.036659436,2.141980486
NRB_30,,,1.114953798,36.01832965,0.047256871,1.556523569
NRB_9,,,1.114953798,20.48601322,0.047256871,1.311457449
NRB_1,,,1.552188511,10.37863395,0.190944465,1.016140195
NRB_29,,,1.12809244,6.544826067,0.052344689,0.815898109
NRB_13,,,1.261062207,2.897155024,0.10073651,0.461971734
NRB_11,,,1.114953798,2.524398717,0.047256871,0.402157951
NRB_18,,,10.82198289,2.161361808,1.034306843,0.334727473
NRB_12,,,1.114953798,1.760252376,0.047256871,0.245574939
NRB_32,,,1.301541533,1.372422872,0.114458031,0.137487947
NRB_16,,,1.114953798,1.338876179,0.047256871,0.126740415
NRB_10,,,1.114953798,1.289527909,0.047256871,0.110430746
NRB_19,,,1.114953798,1.270105634,0.047256871,0.103839843
NRB_40,,,0.902816674,1.254055425,-0.044400429,0.098316731
NRB_34,,,1.114953798,1.209752671,0.047256871,0.08269659
NRB_37,,,1.114953798,1.209752671,0.047256871,0.08269659
NRB_14,,,1.114953798,1.129867384,0.047256871,0.053027472
NRB_21,,,1.114953798,1.114846515,0.047256871,0.047215081
NRB_43,,,1.114953798,1.088076514,0.047256871,0.036659436
NRB_44,,,1.679637379,1.088076514,0.225215531,0.036659436
NRB_45,,,1.114953798,1.088076514,0.047256871,0.036659436
NRB_4,,,1.114953798,1.088076514,0.047256871,0.036659436
NRB_5,,,9.531571742,1.088076514,0.979164521,0.036659436
NRB_6,,,1.886667413,1.088076514,0.275695348,0.036659436
NRB_7,,,2.102264034,1.088076514,0.32268726,0.036659436
NRB_15,,,1.114953798,1.088076514,0.047256871,0.036659436
NRB_17,,,1.114953798,1.088076514,0.047256871,0.036659436
NRB_20,,,1.916922755,1.088076514,0.282604613,0.036659436
NRB_22,,,1.114953798,1.088076514,0.047256871,0.036659436
NRB_23,,,1.114953798,1.088076514,0.047256871,0.036659436
NRB_24,,,1.114953798,1.088076514,0.047256871,0.036659436
NRB_25,,,1.550686469,1.088076514,0.190523997,0.036659436
NRB_26,,,1.550686469,1.088076514,0.190523997,0.036659436
NRB_27,,,1.121519653,1.088076514,0.049806888,0.036659436
NRB_28,,,1.114953798,1.088076514,0.047256871,0.036659436
NRB_31,,,1.614775226,1.088076514,0.208112078,0.036659436
NRB_33,,,1.114953798,1.088076514,0.047256871,0.036659436
NRB_35,,,1.114953798,1.088076514,0.047256871,0.036659436
NRB_36,,,1.114953798,1.088076514,0.047256871,0.036659436
NRB_38,,,1.114953798,1.088076514,0.047256871,0.036659436
NRB_39,,,0.902816674,1.088076514,-0.044400429,0.036659436
NRB_41,,,1.686893174,1.088076514,0.227087581,0.036659436
NRB_42,,,1.114953798,1.088076514,0.047256871,0.036659436