Sample_ID,Farm_type,AF_ppb_bulk,AF_ppb_accept,AF_ppb_reject,AF_ppb_percent_reject,Diference_accept_reject_AF,Diference_accept_reject_FM,Weight_accept,Weight_reject,Mass_sorted,Accept_mass_perc,perc_accept,Reject_mass_perc,perc_reject,Perc_total,Toxin Accept,Toxin reject,Toxin removed percentage,Difference,Reject Rate (mass) percentage,Fraction_rejected/reject_rate_AF,Calculated bulk (ppb)
NRB_1,,,1.548816619,10.47128548,0.871147798,-8.922468861,,421.7,53,474.7,0.888350537,88.83505372,0.111649463,11.16494628,100,653.1359682,554.9781304,45.9375593,-8.922468861,11.16494628,4.114445169,2.545005474
NRB_2,,,1.096478196,138.0384265,0.992119316,-136.9419483,,339,48.3,387.3,0.875290473,87.52904725,0.124709527,12.47095275,100,371.7061084,6667.256,94.71930517,-136.9419483,12.47095275,7.595193973,18.17444386
NRB_3,,,1.096478196,3388.441561,0.999676511,-3387.345083,,524.8,17.8,542.6,0.967194987,96.71949871,0.032805013,3.28050129,100,575.4317573,60314.25979,99.0549603,-3387.345083,3.28050129,30.19506824,112.2183773
NRB_4,,,1.096478196,1.096478196,0.5,0,,452,17.9,469.9,0.961906789,96.19067887,0.038093211,3.809321132,100,495.6081446,19.62695971,3.809321132,0,3.809321132,1,1.096478196
NRB_5,,,9.54992586,1.096478196,0.102990474,8.453447664,,376.7,36.6,413.3,0.911444471,91.14444713,0.088555529,8.855552867,100,3597.457071,40.13110197,1.103233793,8.453447664,8.855552867,0.124581018,8.801326333
NRB_6,,,1.905460718,1.096478196,0.365256665,0.808982522,,390.3,60.5,450.8,0.865794144,86.57941437,0.134205856,13.42058563,100,743.7013182,66.33693086,8.18935784,0.808982522,13.42058563,0.61020868,1.796890526
NRB_7,,,2.089296131,1.096478196,0.344179494,0.992817935,,301.7,36.8,338.5,0.891285081,89.12850812,0.108714919,10.87149188,100,630.3406427,40.35039761,6.016242232,0.992817935,10.87149188,0.553396194,1.98136201
NRB_8,,,63.09573445,151.3561248,0.70578136,-88.26039035,,394.2,30.9,425.1,0.927311221,92.73112209,0.072688779,7.268877911,100,24872.33852,4676.904256,15.82749274,-88.26039035,7.268877911,2.17743274,69.51127447
NRB_9,,,1.096478196,20.41737945,0.949033864,-19.32090125,,385.3,42.4,427.7,0.900865092,90.08650924,0.099134908,9.913490765,100,422.4730489,865.6968887,67.20362457,-19.32090125,9.913490765,6.779007129,3.011853957
NRB_10,,,1.096478196,1.288249552,0.540208228,-0.191771356,,306.1,16.2,322.3,0.949736271,94.97362706,0.050263729,5.026372944,100,335.6319758,20.86964274,5.854010657,-0.191771356,5.026372944,1.164659034,1.10611734
NRB_11,,,1.096478196,2.511886432,0.69612877,-1.415408236,,338.1,28.4,366.5,0.922510232,92.25102319,0.077489768,7.748976808,100,370.7192781,71.33757467,16.13764705,-1.415408236,7.748976808,2.082551988,1.206157852
NRB_12,,,1.096478196,1.77827941,0.618584122,-0.681801214,,430.3,10.6,440.9,0.975958267,97.59582672,0.024041733,2.404173282,100,471.8145677,18.84976175,3.841681698,-0.681801214,2.404173282,1.597922133,1.112869879
NRB_13,,,1.258925412,2.884031503,0.69612877,-1.625106091,,426.5,45.1,471.6,0.904368109,90.43681086,0.095631891,9.563189143,100,536.9316882,130.0698208,19.50067864,-1.625106091,9.563189143,2.0391397,1.414337381
NRB_14,,,1.096478196,1.122018454,0.505756208,-0.025540258,,300.2,26.7,326.9,0.918323646,91.83236464,0.081676354,8.167635362,100,329.1627544,29.95789272,8.342013459,-0.025540258,8.167635362,1.021349888,1.098564231
NRB_15,,,1.096478196,1.096478196,0.5,0,,481,33.5,514.5,0.934888241,93.4888241,0.065111759,6.511175899,100,527.4060123,36.73201957,6.511175899,0,6.511175899,1,1.096478196
NRB_16,,,1.096478196,1.348962883,0.551623547,-0.252484687,,364.8,12,376.8,0.968152866,96.81528662,0.031847134,3.184713376,100,399.9952459,16.1875546,3.889529932,-0.252484687,3.184713376,1.221312399,1.10451911
NRB_17,,,1.096478196,1.096478196,0.5,0,,249,28.8,277.8,0.896328294,89.63282937,0.103671706,10.36717063,100,273.0230708,31.57857204,10.36717063,0,10.36717063,1,1.096478196
NRB_18,,,10.71519305,2.13796209,0.166337531,8.57723096,,272.9,13.4,286.3,0.953195948,95.31959483,0.046804052,4.680405169,100,2924.176183,28.64869201,0.970213041,8.57723096,4.680405169,0.207292532,10.31374389
NRB_19,,,1.096478196,1.258925412,0.534483945,-0.162447216,,367.2,26.2,393.4,0.933401118,93.34011185,0.066598882,6.659888155,100,402.6267936,32.98384579,7.571864141,-0.162447216,6.659888155,1.136935631,1.107296999
NRB_20,,,1.905460718,1.096478196,0.365256665,0.808982522,,419,47.5,466.5,0.898177921,89.81779207,0.101822079,10.18220793,100,798.3880408,52.08271431,6.123986509,0.808982522,10.18220793,0.601439938,1.823088435
NRB_21,,,1.096478196,1.122018454,0.505756208,-0.025540258,,457.5,28.6,486.1,0.941164369,94.11643695,0.058835631,5.883563053,100,501.6387747,32.08972778,6.012369142,-0.025540258,5.883563053,1.021892531,1.097980873
NRB_22,,,1.096478196,1.096478196,0.5,0,,161.1,1.8,162.9,0.988950276,98.89502762,0.011049724,1.104972376,100,176.6426374,1.973660753,1.104972376,0,1.104972376,1,1.096478196
NRB_23,,,1.096478196,1.096478196,0.5,0,,411.9,24.5,436.4,0.943858845,94.38588451,0.056141155,5.61411549,100,451.6393689,26.8637158,5.61411549,0,5.61411549,1,1.096478196
NRB_24,,,1.096478196,1.096478196,0.5,0,,603.4,11.2,614.6,0.981776765,98.17767654,0.018223235,1.822323462,100,661.6149435,12.2805558,1.822323462,0,1.822323462,1,1.096478196
NRB_25,,,1.548816619,1.096478196,0.414501321,0.452338423,,346.4,23.8,370.2,0.935710427,93.57104268,0.064289573,6.42895732,100,536.5100768,26.09618106,4.638444862,0.452338423,6.42895732,0.721492558,1.519735975
NRB_26,,,1.548816619,1.096478196,0.414501321,0.452338423,,420.2,26.7,446.9,0.940255091,94.02550906,0.059744909,5.974490938,100,650.8127433,29.27596783,4.304727803,0.452338423,5.974490938,0.720517923,1.521791701
NRB_27,,,1.122018454,1.096478196,0.494243792,0.025540258,,378.6,24.1,402.7,0.940153961,94.01539608,0.059846039,5.984603924,100,424.7961867,26.42512452,5.856355599,0.025540258,5.984603924,0.97857029,1.120489971
NRB_28,,,1.096478196,1.096478196,0.5,0,,219.8,13.4,233.2,0.942538593,94.25385935,0.057461407,5.746140652,100,241.0059075,14.69280783,5.746140652,0,5.746140652,1,1.096478196
NRB_29,,,1.122018454,6.60693448,0.854829178,-5.484916026,,235.6,31.5,267.1,0.882066642,88.20666417,0.117933358,11.79333583,100,264.3475478,208.1184361,44.04940106,-5.484916026,11.79333583,3.735109531,1.768873021
NRB_30,,,1.096478196,36.30780548,0.970685759,-35.21132728,,316.4,23.1,339.5,0.931958763,93.19587629,0.068041237,6.804123711,100,346.9257012,838.7103066,70.7392742,-35.21132728,6.804123711,10.39652969,3.492300465
NRB_31,,,1.621810097,1.096478196,0.403370827,0.525331901,,353,14.3,367.3,0.961067247,96.10672475,0.038932753,3.893275252,100,572.4989642,15.6796382,2.665795413,0.525331901,3.893275252,0.684717941,1.60135748
NRB_32,,,1.288249552,1.380384265,0.517262524,-0.092134713,,386.4,90.1,476.5,0.810912907,81.09129066,0.189087093,18.90870934,100,497.7796269,124.3726223,19.99070524,-0.092134713,18.90870934,1.057222092,1.305671037
NRB_33,,,1.096478196,1.096478196,0.5,0,,304.4,12.9,317.3,0.959344469,95.9344469,0.040655531,4.065553104,100,333.7679629,14.14456873,4.065553104,0,4.065553104,1,1.096478196
NRB_34,,,1.096478196,1.202264435,0.523009587,-0.105786239,,321.9,11.7,333.6,0.964928058,96.49280576,0.035071942,3.507194245,100,352.9563313,14.06649389,3.832593758,-0.105786239,3.507194245,1.092780579,1.100188325
NRB_35,,,1.096478196,1.096478196,0.5,0,,372.8,12.9,385.7,0.966554317,96.65543168,0.033445683,3.344568317,100,408.7670715,14.14456873,3.344568317,0,3.344568317,1,1.096478196
NRB_36,,,1.096478196,1.096478196,0.5,0,,419.5,19.5,439,0.955580866,95.55808656,0.044419134,4.44191344,100,459.9726032,21.38132482,4.44191344,0,4.44191344,1,1.096478196
NRB_37,,,1.096478196,1.202264435,0.523009587,-0.105786239,,399.3,20,419.3,0.952301455,95.23014548,0.047698545,4.769854519,100,437.8237437,24.0452887,5.206083763,-0.105786239,4.769854519,1.091455461,1.101524046
NRB_38,,,1.096478196,1.096478196,0.5,0,,387.7,23.3,411,0.943309002,94.33090024,0.056690998,5.669099757,100,425.1045966,25.54794197,5.669099757,0,5.669099757,1,1.096478196
NRB_39,,,1.096478196,1.096478196,0.5,0,,378.5,33.7,412.2,0.918243571,91.82435711,0.081756429,8.175642892,100,415.0169972,36.95131521,8.175642892,0,8.175642892,1,1.096478196
NRB_40,,,1.096478196,1.258925412,0.534483945,-0.162447216,,286.2,16.2,302.4,0.946428571,94.64285714,0.053571429,5.357142857,100,313.8120597,20.39459167,6.102389522,-0.162447216,5.357142857,1.139112711,1.105180725
NRB_41,,,1.698243652,1.096478196,0.392338936,0.601765456,,380.9,25.5,406.4,0.937253937,93.7253937,0.062746063,6.274606299,100,646.861007,27.960194,4.143348483,0.601765456,6.274606299,0.660336009,1.660485239
NRB_42,,,1.096478196,1.096478196,0.5,0,,325.2,20.7,345.9,0.940156114,94.01561145,0.059843886,5.984388552,100,356.5747093,22.69709866,5.984388552,0,5.984388552,1,1.096478196
NRB_43,,,1.096478196,1.096478196,0.5,0,,293.7,20,313.7,0.93624482,93.62448199,0.06375518,6.375518011,100,322.0356462,21.92956392,6.375518011,0,6.375518011,1,1.096478196
NRB_44,,,1.698243652,1.096478196,0.392338936,0.601765456,,225.1,75.7,300.8,0.748337766,74.8337766,0.251662234,25.1662234,100,382.2746461,83.00339944,17.83952633,0.601765456,25.1662234,0.708867836,1.546802013
NRB_45,,,1.096478196,1.096478196,0.5,0,,394.5,16.3,410.8,0.960321324,96.03213242,0.039678676,3.967867575,100,432.5606483,17.87259459,3.967867575,0,3.967867575,1,1.096478196